No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
326,90 microns (AKARI),363.37,+/-97.78,milliJy,3.33E12,0.363,0.0978,0.0978,,,+/-9.78E-02,Jy,2017A&A...605A..74K,uncertainty,90 microns,Broad-band measurement,,Total flux,,From new raw data
327,100 microns (IRAS),0.41,+/-0.103,Jy,3.0E12,0.41,0.103,0.103,,,+/-1.03E-01,Jy,1994PrivC.U..J....K,1 sigma,100        microns,Broad-band measurement,122818. +123958 (B1950),From fitting to map,,From reprocessed raw data
328,100 microns Herschel,0.517,+/-0.129,Jy,3.0E12,0.517,0.129,0.129,,,+/-1.29E-01,Jy,2010A&A...518L..53B,uncertainty,100 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
329,100 microns (IRAS),559.0,+/-15  %,milliJy,3.0E12,0.559,0.0839,0.0839,,,+/-8.39E-02,Jy,1988AJ.....95...26G,typical accuracy,100        microns,Broad-band measurement,,From fitting to map,From coadded survey scans,From new raw data
330,100 microns (IRAS),,<1.016E+00,Jy,3.0E12,,,,1.02,,<1.02E+00,Jy,1990IRASF.C...0000M,90% confidence,100       microns,Broad-band measurement,122816.4 +124009 (B1950),Flux in fixed aperture,,From new raw data
331,100 microns (PACS),0.693,+/-0.182,Jy,2.93E12,0.693,0.182,0.182,,,+/-1.82E-01,Jy,2014MNRAS.440..942C,uncertainty,102.3 microns,Broad-band measurement,12 30 49.42 +12 23 28.0 (J2000),Flux integrated from map,"Maj = 58""; Min = 57""; PA=-21 deg",From reprocessed raw data
332,140 mcicrons (AKARI),295.53,+/-184.34,milliJy,2.14E12,0.296,0.184,0.184,,,+/-1.84E-01,Jy,2017A&A...605A..74K,uncertainty,140 microns,Broad-band measurement,,Total flux,,From new raw data
336,160 microns (MIPS),815.0,+/-31,milliJy,1.92E12,0.815,0.031,0.031,,,+/-3.10E-02,Jy,2009ApJ...695....1T,uncertainty,155.9 microns,Broad-band measurement,,Total flux,,From reprocessed raw data
337,160 microns (MIPS),896.0,+/-91,milliJy,1.92E12,0.896,0.091,0.091,,,+/-9.10E-02,Jy,2009ApJ...707..890T,uncertainty,155.9 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
338,160 microns (MIPS),581.5,+/-10.0,milliJy,1.92E12,0.582,0.01,0.01,,,+/-1.00E-02,Jy,2007ApJ...655..781S,uncertainty,155.9   microns,Broad-band measurement,,Total flux,,From new raw data
342,160 microns Herschel,0.673,+/-0.168,Jy,1.87E12,0.673,0.168,0.168,,,+/-1.68E-01,Jy,2010A&A...518L..53B,uncertainty,160 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
343,160 microns (PACS),0.82,+/-0.156,Jy,1.81E12,0.82,0.156,0.156,,,+/-1.56E-01,Jy,2014MNRAS.440..942C,uncertainty,166 microns,Broad-band measurement,12 30 49.42 +12 23 28.0 (J2000),Flux integrated from map,"Maj = 58""; Min = 57""; PA=-21 deg",From reprocessed raw data
344,170 microns (ISO),,<0.35,Jy,1.76E12,,,,0.35,,<3.50E-01,Jy,2004ApJS..151..237T,3 sigma,170   microns,Broad-band measurement,12 30 48.83 +12 23 32.2 (J2000),Flux integrated from map,,From reprocessed raw data
345,200 microns (ISO),,<0.38,Jy,1.5E12,,,,0.38,,<3.80E-01,Jy,2004ApJS..151..237T,3 sigma,200   microns,Broad-band measurement,12 30 48.83 +12 23 32.2 (J2000),Flux integrated from map,,From reprocessed raw data
346,250 microns Herschel,0.86,+/-0.215,Jy,1.2E12,0.86,0.215,0.215,,,+/-2.15E-01,Jy,2010A&A...518L..53B,uncertainty,250 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
347,250 microns (SPIRE),706.0,+/-106.0,milliJy,1.2E12,0.706,0.106,0.106,,,+/-1.06E-01,Jy,2014ApJ...783..135A,5 sigma,250 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
