No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
121,4-7 keV (XMM),7.5E-11,+/-0.01E-10,ergs/cm^2^/s,1.33E18,5.64E-6,7.52E-8,7.52E-8,,,+/-7.52E-08,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,Date:02/02/2001,From new raw data; NED frequency assigned to mid-point ofband in keV
122,4-7 keV (XMM),8.4E-11,+/-0.02E-10,ergs/cm^2^/s,1.33E18,6.32E-6,1.5E-7,1.5E-7,,,+/-1.50E-07,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,Date:02/06/2002,From new raw data; NED frequency assigned to mid-point ofband in keV
123,4-7 keV (XMM),1.04E-10,+/-0.01E-10,ergs/cm^2^/s,1.33E18,7.82E-6,7.52E-8,7.52E-8,,,+/-7.52E-08,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,Date:02/02/2001,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
124,4-7 keV (XMM),1.24E-10,+/-0.03E-10,ergs/cm^2^/s,1.33E18,9.32E-6,2.26E-7,2.26E-7,,,+/-2.26E-07,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,Date:02/06/2002,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
125,4-7 keV (Chandra),1.19E-10,+/-0.03E-10,ergs/cm^2^/s,1.33E18,8.95E-6,2.26E-7,2.26E-7,,,+/-2.26E-07,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,,From new raw data; NED frequency assigned to mid-point ofband in keV
126,4-7 keV (Chandra),1.63E-10,+/-0.03E-10,ergs/cm^2^/s,1.33E18,1.23E-5,2.26E-7,2.26E-7,,,+/-2.26E-07,Jy,2004ApJ...612..786E,statistical error,5.50 keV,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
127,0.4-10 keV (XMM),1.69E-10,,erg cm^-2^ s^-1^,1.26E18,1.34E-5,,,,,,Jy,2006A&A...453..829F,no uncertainty reported,5.20   keV,Broad-band measurement,13 25 27.6 -43 01 09 (J2000),Flux integrated from map,Single PL model; fit in 4-10 keV range,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
128,0.4-10 keV (XMM),1.85E-10,,erg cm^-2^ s^-1^,1.26E18,1.47E-5,,,,,,Jy,2006A&A...453..829F,no uncertainty reported,5.20   keV,Broad-band measurement,13 25 27.6 -43 01 09 (J2000),Flux integrated from map,Single PL model; fit in 4-10 keV range,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
129,0.3-8 keV (Chandra),6.2E-12,,erg/s/cm^2^,1.0E18,6.2E-7,,,,,,Jy,2011ApJS..192...10L,no uncertainty reported,4.15 keV,Broad-band measurement,13 25 27.650 -43 01 08.33 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
130,0.3-8 keV (Chandra),6.57E-12,,erg/cm^2^/s,1.0E18,6.57E-7,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
131,0.3-8 keV (Chandra),6.74E-12,,erg/cm^2^/s,1.0E18,6.74E-7,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
132,2-7 keV Chandra,4.4112E-12,+/-4.2098E-14,erg/cm^2/s,9.19E17,4.8E-7,4.58E-9,4.58E-9,,,+/-4.58E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var;ext,From new raw data; Uncorrected for known sources in beam
133,2-7 keV Chandra,1.0299E-11,+/-2.2746E-14,erg/cm^2/s,9.19E17,1.12E-6,2.48E-9,2.48E-9,,,+/-2.48E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
134,2-7 keV Chandra,5.6794E-13,+/-1.5705E-14,erg/cm^2/s,9.19E17,6.18E-8,1.71E-9,1.71E-9,,,+/-1.71E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90;var;ext,From new raw data; Uncorrected for known sources in beam
