No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
82,V (Johnson),9.59,+/-0.02,mag,5.42E14,0.531,0.00987,0.00987,,,+/-9.87E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"83.7"" aperture",From new raw data
83,V (Johnson),11.29,+/-0.02,mag,5.42E14,0.111,0.00206,0.00206,,,+/-2.06E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14.8"" aperture",From new raw data
84,V (Johnson),9.97,+/-0.02,mag,5.42E14,0.374,0.00696,0.00696,,,+/-6.96E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"59.5"" aperture",From new raw data
85,V (V_T),8.53,+/-0.08,mag,5.42E14,1.41,0.109,0.109,,,+/-1.09E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
86,V (V_T^0),8.53,,mag,5.42E14,1.41,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
87,R (Cousins) (R_25),7.91,+/-0.09,mag,4.68E14,2.11,0.183,0.183,,,+/-1.83E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
88,R (Cousins) (R_26),7.8,+/-0.09,mag,4.68E14,2.34,0.202,0.202,,,+/-2.02E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
89,R (Cousins) (R_T),7.66,+/-0.09,mag,4.68E14,2.65,0.229,0.229,,,+/-2.29E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
92,R,1.58,,Jy,4.54E14,1.58,,,,,,Jy,2007ApJ...655..863D,no uncertainty reported,0.66   microns,Broad-band measurement,03 22 41.2 -37 12 10 (J2000),Total flux,,From new raw data; Extinction-corrected for Milky Way
93,R' (Johnson),8.39,,mag,4.48E14,1.23,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,6690   A,Broad-band measurement,,Flux in fixed aperture,"261.9"" aperture",From new raw data
94,R' (Johnson),8.74,,mag,4.48E14,0.887,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,6690   A,Broad-band measurement,,Flux in fixed aperture,"140.7"" aperture",From new raw data
97,r,10.04,+/-0.02,mag,4.45E14,0.268,0.00498,0.00498,,,+/-4.98E-03,Jy,1978ApJ...223..707S,uncertainty,6738   A,Broad-band measurement,,Flux in fixed aperture,"29.8"" aperture",From new raw data; derived from a flux in a different bandand a color
98,r,10.73,+/-0.02,mag,4.45E14,0.142,0.00264,0.00264,,,+/-2.64E-03,Jy,1978ApJ...223..707S,uncertainty,6738   A,Broad-band measurement,,Flux in fixed aperture,"14.8"" aperture",From new raw data; derived from a flux in a different bandand a color
99,r,9.05,+/-0.02,mag,4.45E14,0.667,0.0124,0.0124,,,+/-1.24E-02,Jy,1978ApJ...223..707S,uncertainty,6738   A,Broad-band measurement,,Flux in fixed aperture,"83.7"" aperture",From new raw data; derived from a flux in a different bandand a color
100,r,9.42,+/-0.02,mag,4.45E14,0.474,0.00882,0.00882,,,+/-8.82E-03,Jy,1978ApJ...223..707S,uncertainty,6738   A,Broad-band measurement,,Flux in fixed aperture,"59.5"" aperture",From new raw data; derived from a flux in a different bandand a color
