No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
327,4.6 microns WISE AB,11.12,+/-0.10,mag,6.51E13,0.13,0.012,0.012,,,+/-1.20E-02,Jy,2014ApJS..212...18B,uncertainty,46060   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
328,4.6 microns WISE AB,11.15,+/-0.10,mag,6.51E13,0.126,0.0116,0.0116,,,+/-1.16E-02,Jy,2014ApJS..212...18B,uncertainty,46060   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
329,M (Johnson),234.2,+/-25.0,milliJy,6.25E13,0.234,0.025,0.025,,,+/-2.50E-02,Jy,1983ApJS...52..341M,1 sigma,4.8     microns,Broad-band measurement,03 16 29.6 +41 19 52 (B1950),Flux in fixed aperture,"7.9"" aperture",From new raw data
330,M (Johnson),216.9,+/-44.0,milliJy,6.25E13,0.217,0.044,0.044,,,+/-4.40E-02,Jy,1983ApJS...52..341M,1 sigma,4.8     microns,Broad-band measurement,03 16 29.6 +41 19 52 (B1950),Flux in fixed aperture,"15.8"" aperture",From new raw data
331,5 microns,0.218,+/-0.030,Jy,6.0E13,0.218,0.03,0.03,,,+/-3.00E-02,Jy,1978ApJ...226..550R,uncertainty,5       microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
333,5.8 microns IRAC AB,10.81,+/-0.10,mag,5.25E13,0.173,0.0159,0.0159,,,+/-1.59E-02,Jy,2014ApJS..212...18B,uncertainty,57100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
334,5.8 microns IRAC AB,10.83,+/-0.10,mag,5.25E13,0.169,0.0156,0.0156,,,+/-1.56E-02,Jy,2014ApJS..212...18B,uncertainty,57100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
335,5.8 microns (IRAC),132.2,+/-0.2,milliJy,5.23E13,0.132,2.0E-4,2.0E-4,,,+/-2.00E-04,Jy,2010MNRAS.408.1982L,1 sigma,5.731 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"12"" radius aperture",From new raw data
336,6 microns (Spitzer),0.129,,Jy,5.0E13,0.129,,,,,,Jy,2005ApJ...633..706W,no uncertainty reported,6   microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
341,6.7 microns (ISOCAM),230.0,+/-20,milliJy,4.47E13,0.23,0.02,0.02,,,+/-2.00E-02,Jy,2004A&A...421..129S,1 sigma,6.7   microns,Broad-band measurement,,From multi-aperture data,,From reprocessed raw data
345,8.0 microns IRAC AB,10.27,+/-0.10,mag,3.82E13,0.284,0.0262,0.0262,,,+/-2.62E-02,Jy,2014ApJS..212...18B,uncertainty,78410   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
346,8.0 microns IRAC AB,10.28,+/-0.10,mag,3.82E13,0.28,0.0257,0.0257,,,+/-2.57E-02,Jy,2014ApJS..212...18B,uncertainty,78410   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
347,8.0 microns (IRAC),291.1,+/-0.2,milliJy,3.81E13,0.291,2.0E-4,2.0E-4,,,+/-2.00E-04,Jy,2010MNRAS.408.1982L,1 sigma,7.872 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"12"" radius aperture",From new raw data
350,Si-2 (GeminiN),313.6,+/-4.7,milliJy,3.41E13,0.314,0.0047,0.0047,,,+/-4.70E-03,Jy,2014MNRAS.439.1648A,uncertainty,8.80   microns,Broad-band measurement,049.950833 +41.511667 (J2000),Flux in fixed aperture,Nuclear flux,From reprocessed raw data
351,9.6 microns (ISOCAM),400.0,+/-70,milliJy,3.12E13,0.4,0.07,0.07,,,+/-7.00E-02,Jy,2004A&A...421..129S,1 sigma,9.6   microns,Broad-band measurement,,From multi-aperture data,,From reprocessed raw data
354,10 microns (Spitzer),0.64,,Jy,3.0E13,0.64,,,,,,Jy,2005ApJ...633..706W,no uncertainty reported,10   microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
355,10 microns,1.3,+/-0.2,Jy,3.0E13,1.3,0.2,0.2,,,+/-2.00E-01,Jy,1972ApJ...177L.115R,uncertainty,10 microns,Broad-band measurement,,Flux in fixed aperture,"6"" aperture;Low quality data",From new raw data
359,N (Johnson),4.14,+/-0.24,mag,2.83E13,0.795,0.197,0.197,,,+/-1.97E-01,Jy,1983ApJ...275..477M,uncertainty,10.6     microns,Broad-band measurement,,Flux in fixed aperture,"9"" aperture",From new raw data
360,10.6 microns,0.77,+/-10  %,Jy,2.83E13,0.77,10.0,10.0,,,+/-1.00E+01,Jy,1978ApJ...226..550R,uncertainty,10.6     microns,Broad-band measurement,,Flux in fixed aperture,"5.7"" aperture",From new raw data
361,10.6 microns,0.77,,Jy,2.83E13,0.77,,,,,,Jy,1979ApJ...229..111L,no uncertainty reported,10.6     microns,Broad-band measurement,,Flux in fixed aperture,"8.5"" aperture",From new raw data
366,W3 (WISE),4.061,+/-0.014,mag,2.59E13,0.752,0.0097,0.0097,,,+/-9.70E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
367,W3 (WISE),4.083,+/-0.005,mag,2.59E13,0.737,0.00339,0.00339,,,+/-3.39E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
368,W3 (WISE),4.165,+/-0.005,mag,2.59E13,0.683,0.00315,0.00315,,,+/-3.15E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
369,N11.7 (Subaru),918.7,+/-54.0,milliJy,2.55E13,0.919,0.054,0.054,,,+/-5.40E-02,Jy,2014MNRAS.439.1648A,uncertainty,11.74   microns,Broad-band measurement,049.950833 +41.511667 (J2000),Flux in fixed aperture,Nuclear flux,From reprocessed raw data
370,12 microns WISE AB,9.1,+/-0.10,mag,2.54E13,0.829,0.0764,0.0764,,,+/-7.64E-02,Jy,2014ApJS..212...18B,uncertainty,118100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
371,12 microns WISE AB,9.12,+/-0.10,mag,2.54E13,0.82,0.0755,0.0755,,,+/-7.55E-02,Jy,2014ApJS..212...18B,uncertainty,118100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
374,12 microns (IRAS),1.06,+/-0.014,Jy,2.5E13,1.06,0.014,0.014,,,+/-1.40E-02,Jy,2003AJ....126.1607S,1 sigma,12   microns,Broad-band measurement,03 19 46.7 +41 30 37 (J2000),Total flux,"Size, Method, Flag codes: MI;see paper",From reprocessed raw data
375,W3 (WISE),4.062,+/-0.014,mag,2.5E13,0.752,0.00969,0.00969,,,+/-9.69E-03,Jy,2014MNRAS.438.1149G,rms uncertainty,12 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
376,12 microns (IRAS),0.95,+/-0.036,Jy,2.5E13,0.95,0.036,0.036,,,+/-3.60E-02,Jy,1994PrivC.U..J....K,1 sigma,12         microns,Broad-band measurement,031630. +411948 (B1950),From fitting to map,,From reprocessed raw data
377,12 microns (IRAS),0.93,+/-0.10,Jy,2.5E13,0.93,0.1,0.1,,,+/-1.00E-01,Jy,2004AJ....127.3235S,1 sigma,12.0   microns,Broad-band measurement,03 16 28.7 +41 19 48 (B1950),Flux in fixed aperture,,From reprocessed raw data
378,12 microns (IRAS),1058.0,+/-15  %,milliJy,2.5E13,1.06,0.159,0.159,,,+/-1.59E-01,Jy,1988AJ.....95...26G,typical accuracy,12         microns,Broad-band measurement,,Integrated from scans,From pointed observations,From new raw data
379,12 microns (IRAS),1169.0,+/-10.0,milliJy,2.5E13,1.17,0.01,0.01,,,+/-1.00E-02,Jy,1988AJ.....95..307I,uncertainty,12        microns,Broad-band measurement,,Integrated from scans,,From new raw data; OBJ_NAME modified from published value
380,12 microns (IRAS),1385.0,+/-13.0,milliJy,2.5E13,1.39,0.013,0.013,,,+/-1.30E-02,Jy,1988AJ.....95..307I,uncertainty,12        microns,Broad-band measurement,,Integrated from scans,,From new raw data; OBJ_NAME modified from published value
381,12 microns (IRAS),1.069,+/-5   %,Jy,2.5E13,1.07,0.0535,0.0535,,,+/-5.35E-02,Jy,1990IRASF.C...0000M,uncertainty,12        microns,Broad-band measurement,031628.1 +411947 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
384,Si-6 (GeminiN),886.4,+/-11.4,milliJy,2.4E13,0.886,0.0114,0.0114,,,+/-1.14E-02,Jy,2014MNRAS.439.1648A,uncertainty,12.50   microns,Broad-band measurement,049.950833 +41.511667 (J2000),Flux in fixed aperture,Nuclear flux,From reprocessed raw data
389,NeII (Subaru),1208.4,+/-60.9,milliJy,2.34E13,1.21,0.0609,0.0609,,,+/-6.09E-02,Jy,2014MNRAS.439.1648A,uncertainty,12.81   microns,Broad-band measurement,049.950833 +41.511667 (J2000),Flux in fixed aperture,Nuclear flux,From reprocessed raw data
391,14.3 microns ISOCAM,1000.0,+/-100,milliJy,2.1E13,1.0,0.1,0.1,,,+/-1.00E-01,Jy,2004A&A...421..129S,1 sigma,14.3   microns,Broad-band measurement,,From multi-aperture data,,From reprocessed raw data
392,14.3 microns (ISO),221.4,+/-26.5,milliJy,2.1E13,0.221,0.0265,0.0265,,,+/-2.65E-02,Jy,2004ApJS..151..237T,uncertainty,14.3   microns,Broad-band measurement,03 19 48.61 +41 30 38.1 (J2000),Flux in fixed aperture,,From reprocessed raw data
396,15 microns (Spitzer),1146.04,+/-0.42,milliJy,2.0E13,1.15,4.2E-4,4.2E-4,,,+/-4.20E-04,Jy,2009MNRAS.396.1929H,1 sigma,15 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
397,15 microns (Spitzer),1.36,,Jy,2.0E13,1.36,,,,,,Jy,2005ApJ...633..706W,no uncertainty reported,15   microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
406,18 microns (AKARI),1.988,,Jy,1.67E13,1.99,,,,,,Jy,2015ApJ...814...11T,no uncertainty reported,18 microns,Broad-band measurement,,Not reported in paper,,Averaged from previously published data
408,20 microns (Spitzer),2.41,,Jy,1.5E13,2.41,,,,,,Jy,2005ApJ...633..706W,no uncertainty reported,20   microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
409,21 microns,2.4,+/-0.3,Jy,1.43E13,2.4,0.3,0.3,,,+/-3.00E-01,Jy,1972ApJ...176L..95R,1 sigma,21 microns,Broad-band measurement,,Flux in fixed aperture,"6"" aperture",From new raw data
410,21 microns,3.4,+/-0.3,Jy,1.43E13,3.4,0.3,0.3,,,+/-3.00E-01,Jy,1979ApJ...229..111L,uncertainty,21       microns,Broad-band measurement,,Flux in fixed aperture,"8.5"" aperture",Recalibrated data
411,21 microns,3.4,+/-0.300,Jy,1.43E13,3.4,0.3,0.3,,,+/-3.00E-01,Jy,1978ApJ...226..550R,uncertainty,21       microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
412,W4 (WISE),1.15,+/-0.014,mag,1.36E13,2.9,0.0374,0.0374,,,+/-3.74E-02,Jy,2014MNRAS.438.1149G,rms uncertainty,22 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
413,W4 (WISE),1.152,+/-0.015,mag,1.36E13,2.89,0.04,0.04,,,+/-4.00E-02,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
414,W4 (WISE),1.103,+/-0.006,mag,1.36E13,3.03,0.0167,0.0167,,,+/-1.67E-02,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected;extended",From new raw data
415,W4 (WISE),1.388,+/-0.006,mag,1.36E13,2.33,0.0129,0.0129,,,+/-1.29E-02,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
416,22 microns WISE AB,7.68,+/-0.10,mag,1.35E13,3.07,0.283,0.283,,,+/-2.83E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
417,22 microns WISE AB,7.8,+/-0.10,mag,1.35E13,2.76,0.254,0.254,,,+/-2.54E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aper; Filter curve corr",From new raw data; Extinction-corrected for Milky Way
418,22 microns WISE AB,7.69,+/-0.10,mag,1.35E13,3.05,0.281,0.281,,,+/-2.81E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
419,22 microns WISE AB,7.8,+/-0.10,mag,1.35E13,2.75,0.253,0.253,,,+/-2.53E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aper; Filter curve corr",From new raw data
420,22.5 microns,3.8,+/-0.400,Jy,1.33E13,3.8,0.4,0.4,,,+/-4.00E-01,Jy,1978ApJ...226..550R,uncertainty,22.5     microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
421,24 microns MIPS AB,7.7,+/-0.10,mag,1.28E13,3.01,0.278,0.278,,,+/-2.78E-01,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
422,24 microns MIPS AB,7.71,+/-0.10,mag,1.28E13,3.0,0.276,0.276,,,+/-2.76E-01,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
423,24 microns (MIPS),2930.0,+/-3,milliJy,1.27E13,2.93,0.003,0.003,,,+/-3.00E-03,Jy,2010MNRAS.408.1982L,1 sigma,23.68 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"35"" radius aperture",From new raw data
424,24 microns (MIPS),2928100.0,+/-3.2535E+02,microJy,1.27E13,2.93,3.25E-4,3.25E-4,,,+/-3.25E-04,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
425,24 microns (MIPS),2944100.0,+/-2.4534E+02,microJy,1.27E13,2.94,2.45E-4,2.45E-4,,,+/-2.45E-04,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
426,24 microns (MIPS),2822700.0,+/-5.0726E+01,microJy,1.27E13,2.82,5.07E-5,5.07E-5,,,+/-5.07E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
427,24 microns (MIPS),2829700.0,+/-3.7202E+01,microJy,1.27E13,2.83,3.72E-5,3.72E-5,,,+/-3.72E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
